cidade1,cidade2,distancia
Arad,Zerind,75
Arad,Sibiu,140
Arad,Timisoara,118
Zerind,Arad,75
Zerind,Oradea,71
Oradea,Zerind,71
Oradea,Sibiu,151
Sibiu,Oradea,151
Sibiu,Arad,140
Sibiu,Fagaras,99
Sibiu,Rimnicu,80
Timisoara,Arad,118
Timisoara,Lugoj,111
Lugoj,Timisoara,111
Lugoj,Mehadia,70
Mehadia,Lugoj,70
Mehadia,Dobreta,75
Dobreta,Mehadia,75
Dobreta,Craiova,120
Craiova,Dobreta,120
Craiova,Pitesti,138
Craiova,Rimnicu,146
Rimnicu,Craiova,146
Rimnicu,Sibiu,80
Rimnicu,Pitesti,97
Fagaras,Sibiu,99
Fagaras,Bucharest,211
Pitesti,Rimnicu,97
Pitesti,Craiova,138
Pitesti,Bucharest,101
Bucharest,Fagaras,211
Bucharest,Pitesti,101
Bucharest,Giurgiu,90
Giurgiu,Bucharest,90
